,Player,Injury,Length,Date
0,Don Beaupre,pulled groin ,DTD,2
1,Sergei Bautin,hip injury ,DTD,3
2,Dave Archibald,back injury ,out indefinitely,8
3,Kelly Chase,wrist injury ,DTD,9
4,Mario Lemieux,diagnosed with Hodgkin's disease ,49,12
5,Jeff Brown ,broken foot ,out indefinitely,14
6,Tom Chorske,charley horse ,DTD,14
7,Tom Barrasso,chicken pox ,DTD,14
8,Brian Hayward,back injury ,out indefinitely,15
9,Wendel Clark,strained ribcage muscles ,34,17
10,Lee Norwood,ankle injury ,out indefinitely,21
11,Ray Bourque,ankle injury ,DTD,21
12,Steve Chiasson,pulled hamstring ,DTD,21
13,Benoit Brunet,fractured thunb ,out indefinitely,22
14,Adam Burt,broken right foot ,out indefinitely,25
15,Bob Bassen,broken finger ,DTD,28
16,Dino Ciccarelli,flu ,DTD,30
17,Jeff Beukeboom,bruised ankle ,DTD,32
18,Phil Bourque,sprained left knee ,DTD,34
19,Guy Carbonneau,knee tendinitis ,out indefinitely,35
20,Jeff Brown ,sore foot ,DTD,42
21,Gino Cavallini,sprained left knee ,out indefinitely,43
22,Greg Adams ,charley horse ,DTD,46
23,Rod Brind'Amour,bruised right hand ,4641,51
24,Jamie Baker,bruised foot ,DTD,53
25,Sergei Bautin,fractured foot ,DTD,59
26,Shane Churla,strained neck ,DTD,59
27,Sergei Bautin,bruised foot ,DTD,279
28,Brian Bradley ,undisclosed injury ,DTD,279
29,Tom Barrasso,strained groin ,DTD,280
30,Neal Broten,pulled hip muscle ,DTD,282
31,Wendel Clark,sprained right knee ,6,286
32,Dave Barr,arthroscopic surgery on elbow ,out indefinitely,286
33,Jamie Baker,pulled groin ,out indefinitely,289
34,Paul Coffey,groin and left knee injuries ,DTD,291
35,Rich Pilon,shoulder injury ,out indefinitely,297
36,Shawn Chambers,shoulder injury ,DTD,297
37,Owen Nolan,shoulder injury ,out indefinitely,297
38,Dave Archibald,shoulder injury ,DTD,297
39,Benoit Brunet,bruised left knee ,DTD,301
40,Jason Bowen,hyphema in left eye ,DTD,302
41,Bill Berg,hip flexor injury ,DTD,302
42,Tom Barrasso,hip injury ,out indefinitely,302
43,Marc Bergevin,bruised back ,DTD,303
44,Brian Bellows,rib cage injury ,DTD,304
45,Donald Brashear,bruised knee ,DTD,307
46,Paul MacDermid,back injury ,out indefinitely,307
47,Joe Cirella,fractured right cheekbone ,DTD,307
48,Claude Loiselle,knee injury ,out indefinitely,308
49,Shane Churla,pulled leg muscle ,DTD,308
50,Peter Bondra,broken left hand ,out indefinitely,310
51,Jason Arnott,bruised sternum ,DTD,311
52,Mario Gosselin,knee injury ,out indefinitely,311
53,Murray Baron,groin injury ,DTD,315
54,Patrice Brisebois,hairline fracture of ankle ,out indefinitely,315
55,Craig Simpson,back injury ,out indefinitely,315
56,Doug Bodger,sore back ,DTD,316
57,Kelly Chase,flu ,DTD,318
58,Andrew Cassels,bruised kneecap ,DTD,318
59,Jason Arnott,sprained back ,DTD,321
60,Shawn Burr,surgery on wrist ,out indefinitely,322
61,Murray Baron,groin injury ,DTD,325
62,Greg Adams ,stress fracture in hand ,DTD,328
63,Shawn Antoski,fractured knuckle ,DTD,329
64,Dave Babych,facial lacerations ,DTD,329
65,Joe Cirella,surgery on right eye ,out indefinitely,332
66,Patrick Carnback  Patrik Carnback,strained groin ,DTD,334
67,Wendel Clark,bruised right ankle/foot ,65,336
68,Bryan Erickson  Butsy Erickson,groin injury ,out indefinitely,337
69,Sean Burke,back spasms ,DTD,337
70,Dave Andreychuk,knee injury ,DTD,341
71,Jason Arnott,appendectomy ,DTD,342
72,Stu Barnes,strained left calf ,DTD,366
73,Kelly Chase,leg injury ,DTD,367
74,Shawn Chambers,facial lacerations ,DTD,367
75,Ed Olczyk  Eddie Olczyk,thumb injury ,out indefinitely,368
76,Brian Bradley ,flu ,DTD,369
77,Steven King,surgery on shoulder ,out indefinitely,370
78,Shane Churla,strained bicep muscle ,DTD,374
79,Dave Archibald,groin injury ,out for season,379
80,Jeff Brown ,broken thumb ,DTD,380
81,Dino Ciccarelli,foot injury ,out indefinitely,380
82,Paul Cavallini,fractured eye ,DTD,381
83,Shawn Antoski,sprained thumb ,DTD,384
84,Enrico Ciccone,pulled groin ,DTD,390
85,Shawn Burr,leg injury ,DTD,390
86,Kelly Chase,elbow injury ,DTD,393
87,Denis Chasse,neck injury ,out for season,394
88,Jason Bowen,separated left shoulder ,out indefinitely,395
89,Josef Beranek,bruised left shoulder ,DTD,395
90,Benoit Brunet,concussion ,DTD,398
91,Joe Cirella,fractured nose ,DTD,400
92,Kelly Chase,pulled groin ,DTD,448
93,Doug Brown,leg injury ,DTD,450
94,Bob Bassen,lacerated eye ,DTD,454
95,Shawn Antoski,sore hand ,DTD,456
96,Steve Chiasson,unspecified injury ,DTD,457
97,Kelly Chase,hand injury ,DTD,460
98,Benoit Brunet,sore throat ,DTD,463
99,Shane Churla,bruised hip ,DTD,465
100,Tom Chorske,elbow injury ,DTD,469
101,Mario Lemieux,player took 1-year medical leave of absence for treatment of Hodgkin's disease,Unknown,606
102,David Volek,surgery on back ,out for season),609
103,Dale Craigwell,ankle injury ,out for season,609
104,Jim Agnew,knee injury ,out indefinitely,622
105,Wayne McBean,surgery on wrist ,out indefinitely),639
106,Dan Plante,knee injury ,out indefinitely,640
107,Jason Smith ,knee injury ,out indefinitely,654
108,Dino Ciccarelli,facial laceration ,DTD,738
109,Bob Beers,fractured facial bones ,out indefinitely,746
110,Tom Barrasso,surgery on right wrist ,out indefinitely,750
111,Viacheslav Butsayev  Slava Butsayev,stomach injury ,DTD,750
112,Don McSween,arm injury ,out indefinitely,751
113,Kelly Kisio,shoulder injury ,out indefinitely,752
114,Rob Blake,strained groin ,out indefinitely,753
115,Valeri Zelepukin,right eye injury ,out indefinitely,754
116,Michael Nylander,wrist injury ,out indefinitely,754
117,Craig Billington,knee injury ,out indefinitely,757
118,Paul Coffey,back injury ,DTD,758
119,Ken Baumgartner,surgery on shoulder ,out for season,761
120,Flames,shoulder injury ,out indefinitely,763
121,Gary Roberts,neck injury ,out indefinitely,765
122,Shane Churla,bruised hand ,DTD,765
123,Enrico Ciccone,whiplash ,DTD,766
124,Dave Babych,unspecified injury ,DTD,766
125,Bill Berg,sprained knee ,out indefinitely,767
126,Shawn Chambers,strep throat ,DTD,768
127,Phil Bourque,flu ,DTD,769
128,Bob Carpenter  Bobby Carpenter,sprained ankle ,DTD,772
129,Stu Barnes,bruises and lacerations in and around left eye ,DTD,776
