,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
0,1993,regular,Alaa Abdelnaby,Power Forward,25,BOS,13,0,1.3,1.5,4.9
1,1993,regular,Mahmoud Abdul-Rauf,Point Guard,24,DEN,80,78,1.9,1.9,18.0
2,1993,regular,Michael Adams,Point Guard,31,WSB,70,67,2.4,2.0,12.1
3,1993,regular,Mark Aguirre,Small Forward,34,LAC,39,0,1.8,2.5,10.6
4,1993,regular,Danny Ainge,Shooting Guard,34,PHO,68,1,1.2,2.1,8.9
5,1993,regular,Gary Alexander,Power Forward,24,TOT,11,0,0.7,0.9,1.7
8,1993,regular,Victor Alexander,Center,24,GSW,69,39,1.2,2.4,8.7
9,1993,regular,Eric Anderson,Power Forward,23,NYK,11,0,0.2,0.8,1.9
10,1993,regular,Greg Anderson,Power Forward,29,DET,77,47,1.2,3.0,6.4
11,1993,regular,Kenny Anderson,Point Guard,23,NJN,82,82,3.2,2.5,18.8
12,1993,regular,Nick Anderson,Shooting Guard,26,ORL,81,81,2.0,1.8,15.8
13,1993,regular,Ron Anderson,Small Forward,35,TOT,21,2,0.5,0.8,4.6
16,1993,regular,Willie Anderson,Shooting Guard,27,SAS,80,79,1.9,2.3,11.9
17,1993,regular,Greg Anthony,Point Guard,26,NYK,80,36,1.6,2.0,7.9
18,1993,regular,B.J. Armstrong,Point Guard,26,CHI,82,82,1.6,1.8,14.8
19,1993,regular,Vincent Askew,Shooting Guard,27,SEA,80,3,0.9,1.8,9.1
20,1993,regular,Keith Askins,Small Forward,26,MIA,37,0,0.6,1.5,2.3
21,1993,regular,Stacey Augmon,Shooting Guard,25,ATL,82,82,1.8,2.2,14.8
22,1993,regular,Isaac Austin,Center,24,PHI,14,0,1.2,2.1,5.1
23,1993,regular,Anthony Avent,Power Forward,24,TOT,74,40,1.1,2.0,5.3
26,1993,regular,John Bagley,Point Guard,33,ATL,3,0,0.0,0.7,0.7
27,1993,regular,Thurl Bailey,Power Forward,32,MIN,79,3,0.7,1.2,7.4
28,1993,regular,Vin Baker,Center,22,MIL,82,63,2.0,2.8,13.5
29,1993,regular,Charles Barkley*,Power Forward,30,PHO,65,65,3.2,2.5,21.6
30,1993,regular,Dana Barros,Point Guard,26,PHI,81,70,2.1,1.2,13.3
31,1993,regular,Jon Barry,Shooting Guard,24,MIL,72,7,1.2,1.5,6.2
32,1993,regular,John Battle,Shooting Guard,31,CLE,51,1,0.8,1.3,6.6
33,1993,regular,Benoit Benjamin,Center,29,NJN,77,74,1.3,2.6,9.3
34,1993,regular,Tony Bennett,Point Guard,24,CHH,74,5,0.5,1.1,3.4
35,1993,regular,David Benoit,Small Forward,25,UTA,55,18,0.7,2.1,6.5
36,1993,regular,Rolando Blackman,Shooting Guard,34,NYK,55,1,0.8,1.8,7.3
37,1993,regular,Mookie Blaylock,Point Guard,26,ATL,81,81,2.4,1.8,13.8
38,1993,regular,Corie Blount,Power Forward,25,CHI,67,8,0.8,1.4,3.0
39,1993,regular,Muggsy Bogues,Point Guard,29,CHH,77,77,2.2,1.9,10.8
40,1993,regular,Manute Bol,Center,31,TOT,14,0,0.4,0.9,0.6
44,1993,regular,Walter Bond,Shooting Guard,24,UTA,56,4,0.3,1.6,3.1
45,1993,regular,Anthony Bonner,Small Forward,25,NYK,73,38,1.2,2.4,5.1
46,1993,regular,Anthony Bowie,Shooting Guard,30,ORL,70,0,0.8,1.2,4.6
47,1993,regular,Sam Bowie,Center,32,LAL,25,7,1.7,2.6,8.9
48,1993,regular,Shawn Bradley,Center,21,PHI,49,45,3.0,3.5,10.3
49,1993,regular,Terrell Brandon,Point Guard,23,CLE,73,10,1.5,1.5,8.3
50,1993,regular,Randy Breuer,Center,33,SAC,26,3,0.3,1.2,0.7
